fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Year
2005-12-31,USD,1501970000000,25012000000,25012000000,25012000000,959000000,None,416688000000,15206000000,None,33200000000,33200000000,33200000000,None,None,11300000000,11961000000,None,1403744000000,12689000000,809146000000,None,None,None,1403744000000,None,116214000000,None,None,204609000000,None,None,92432000000,-1939000000,56223000000,5667000000,3730800000,2005
2006-12-31,USD,1860758000000,30021000000,26876000000,26876000000,1826000000,None,404401000000,16424000000,None,4863000000,4863000000,32472000000,None,None,3145000000,14552000000,None,1745830000000,None,996528000000,None,None,None,1745830000000,None,154214000000,None,None,252997000000,-1805000000,None,108352000000,-2107000000,65397000000,5786000000,3730800000,2006
2007-12-31,USD,2354266000000,40786000000,31542000000,31542000000,2804000000,None,592078000000,15694000000,None,5436000000,5436000000,34253000000,None,None,9244000000,20091000000,None,2218850000000,21766000000,1236045000000,None,None,None,2218850000000,None,194271000000,None,None,271398000000,-2559000000,None,128160000000,-2305000000,81097000000,5915000000,3730800000,2007
2008-12-31,USD,2527465000000,64494000000,58399000000,58399000000,2075000000,None,891921000000,14025000000,None,5502000000,5502000000,21855000000,None,None,6095000000,15797000000,None,2427236000000,15448000000,1252029000000,None,None,None,2427236000000,None,160536000000,None,None,209126000000,-1822000000,None,93591000000,-3094000000,80689000000,6053000000,3730800000,2008
2009-12-31,USD,2364452000000,80807000000,80807000000,80807000000,3118000000,None,989493000000,13802000000,None,6753000000,6753000000,23241000000,None,None,6395000000,12423000000,None,2228791000000,13190000000,1283906000000,None,None,None,2228791000000,None,173519000000,None,None,229821000000,-2140000000,None,128299000000,None,86812000000,8705000000,3730800000,2009
2010-12-31,USD,2454689000000,81901000000,82512000000,82512000000,1991000000,None,1142216000000,11521000000,None,7516000000,7516000000,22406000000,None,None,-611000000,11966000000,None,2299774000000,13906000000,1338309000000,None,None,None,2299774000000,None,180864000000,None,None,285978000000,-1804000000,None,147667000000,None,97350000000,8843000000,3730800000,2010
2011-12-31,USD,2555579000000,167993000000,138110000000,138110000000,39558000000,10059000000,1188950000000,10865000000,None,7696000000,7696000000,21338000000,None,None,19824000000,10059000000,None,2389486000000,13106000000,1366747000000,None,None,None,2389486000000,None,181410000000,None,None,161619000000,-2117000000,None,158725000000,None,111868000000,8934000000,3730800000,2011
2012-12-31,USD,2692538000000,184845000000,148835000000,148835000000,19269000000,9502000000,1301962000000,10588000000,None,8463000000,8463000000,21390000000,None,None,26508000000,9502000000,None,2509409000000,13184000000,1447443000000,None,None,None,2509409000000,None,173071000000,None,None,148940000000,-1452000000,None,175242000000,None,120347000000,9238000000,3730800000,2012
2013-12-31,USD,2671318000000,206555000000,172620000000,172620000000,4050000000,11006000000,1132437000000,10847000000,None,8739000000,8739000000,21179000000,None,506135000000,22929000000,11006000000,None,2480859000000,16185000000,1612024000000,None,None,647090000000,2480859000000,None,171883000000,647090000000,None,133056000000,-607000000,None,181871000000,None,128728000000,9415000000,3730800000,2013
2014-12-31,USD,2634139000000,171939000000,134884000000,134884000000,7647000000,10775000000,1177669000000,10532000000,None,8408000000,8408000000,19169000000,None,490275000000,15726000000,10554000000,None,2434161000000,15075000000,1428068000000,None,None,172310000000,2434161000000,None,127619000000,172310000000,None,122611000000,-1213000000,None,190447000000,None,137144000000,9609000000,3811200000,2014
2015-12-31,USD,2409656000000,133117000000,104702000000,104702000000,43900000000,16914000000,1048197000000,9923000000,None,8302000000,8302000000,16294000000,None,500236000000,11501000000,1308360000000,None,2212138000000,38116000000,1344150000000,None,None,137746000000,2212138000000,None,202364000000,137746000000,None,340110000000,182779000000,None,188460000000,None,143976000000,9842000000,3903400000,2015
2016-12-31,USD,2374986000000,128009000000,133012000000,133012000000,4389000000,59520000000,21346000000,9373000000,None,9016000000,9016000000,12330000000,None,1007579000000,15406000000,1191845000000,None,2192408000000,41501000000,1332460000000,None,None,125587000000,2150907000000,None,200250000000,125587000000,None,325837000000,170755000000,None,175386000000,None,136795000000,10096000000,3969000000,2016
2017-12-31,USD,2521771000000,180624000000,187252000000,187252000000,781000000,67191000000,23453000000,10027000000,None,9865000000,9865000000,13588000000,None,885372000000,13128000000,1384860000000,None,2323900000000,45907000000,1424719000000,None,None,129002000000,2277993000000,None,214755000000,129002000000,None,343757000000,122828000000,None,190250000000,None,139999000000,10160000000,4014400000,2017
2018-12-31,USD,2558124000000,200721000000,168630000000,168630000000,None,110571000000,955444000000,10060000000,None,11371000000,11371000000,12986000000,None,885168000000,-31738000000,1437818000000,None,2363875000000,97380,1437977000000,None,None,219180000000,2363875000000,None,234132000000,219180000000,None,453312000000,167420000000,None,186253000000,None,138191000000,10180000000,3996600000,2018
2019-12-31,USD,2715152000000,295735000000,159055000000,159055000000,-486583000000,136680000000,1081924000000,14702000000,None,14573000000,14573000000,5590000000,None,976511000000,254521000000,486583000000,None,129155000000,118156000000,19173000000,None,None,299866000000,129155000000,None,272852000000,227296000000,None,572718000000,-319039000000,None,183955000000,None,136679000000,10319000000,4046600000,2019
2020-12-31,USD,2984164000000,339004000000,328726000000,328726000000,-617946000000,10278000000,1147469000000,14414000000,None,14562000000,14562000000,5881000000,None,1112612000000,244618000000,8114000000,None,2779169000000,10406000000,17351000000,None,None,264651000000,2779169000000,None,None,None,None,378872000000,-254935000000,None,196443000000,None,140572000000,10347000000,4048400000,2020
2021-12-31,USD,2957939000000,422437000000,422437000000,422437000000,None,970000000,1017370000000,13240000000,None,15589000000,15589000000,5033000000,None,940930000000,-30481000000,8233000000,None,2751162000000,10466000000,19742000000,None,None,267474000000,2757474000000,None,None,None,None,395444000000,-257706000000,None,198250000000,None,144458000000,10316000000,4060400000,2021
2022-12-31,USD,2966530000000,350051000000,350051000000,350051000000,None,1230000000,1048927000000,12584000000,None,7263000000,7263000000,4156000000,None,1015022000000,15752000000,10279000000,None,2770502000000,12353000000,24907000000,None,None,250629000000,2770502000000,None,None,None,None,204239000000,11218000000,None,177833000000,None,142409000000,10147000000,3997200000,2022
2023-12-31,USD,3038677000000,319765000000,299569000000,299569000000,None,None,3832473000000,None,None,8164000000,8164000000,4323000000,None,1100826000000,1119000000,20196000000,None,2846067000000,1779003000000,35718000000,None,None,310135000000,235159000000,None,None,None,None,426690000000,1466091000000,None,185329000000,None,152148000000,9631000000,3920000000,2023
2024-12-31,USD,3017048000000,298296000000,284515000000,284515000000,None,None,2718752000000,None,None,8266000000,8266000000,4118000000,None,1226194000000,None,13781000000,None,2824775000000,1818707000000,None,None,None,329598000000,1006068000000,None,None,None,None,242347000000,1816978000000,None,184973000000,None,152402000000,8973000000,3697000000,2024
